"","year","tfr_male","tfr_female","tfr_ratio","country"
"54",1993,1.94112288568532,2.02388524729365,0.959107186675234,"United States"
"55",1994,1.92216801893627,2.0067666170047,0.957843329985877,"United States"
"56",1995,1.89938725438824,1.98356529010935,0.957562256135031,"United States"
"57",1996,1.89719764664962,1.97991094672857,0.958223727074387,"United States"
"58",1997,1.89131273952567,1.97255095732715,0.958815655687007,"United States"
"59",1998,1.91868384207314,2.0007551436849,0.958979837252548,"United States"
"60",1999,1.92325989822063,2.0062073638618,0.958654590180796,"United States"
"61",2000,1.96806823266834,2.05113764922837,0.95950080844585,"United States"
"62",2001,1.95194919157933,2.02947802716476,0.961798632679096,"United States"
"63",2002,1.95273481077123,2.02265368153799,0.965432109606825,"United States"
"64",2003,1.98638159515341,2.05102388673857,0.968482916262888,"United States"
"65",2004,1.99391617414287,2.05447100485606,0.970525341769214,"United States"
"66",1990,1.82100079962056,1.90656057735878,0.955123493712037,"Australia"
"67",1991,1.77655146451774,1.85375516975058,0.958352803815388,"Australia"
"68",1992,1.8142281394818,1.89344798024476,0.958161068278873,"Australia"
"69",1993,1.78300462328538,1.86634392678308,0.95534622407921,"Australia"
"70",1994,1.76232155347492,1.84981410001648,0.952701978787608,"Australia"
"71",1995,1.74302364185123,1.83110191870877,0.951898757814832,"Australia"
"72",1996,1.71920542868493,1.80521079088756,0.952357163697017,"Australia"
"73",1997,1.7068292627506,1.78600551718812,0.955668527518228,"Australia"
"74",1998,1.69990851973579,1.77247274940992,0.959060453991021,"Australia"
"75",1999,1.69881467547293,1.76838718663363,0.960657648004598,"Australia"
"76",2000,1.70202950890386,1.77226877078702,0.960367601663508,"Australia"
"77",2001,1.67174109744912,1.74568986089371,0.957639231858324,"Australia"
"78",2002,1.69130533716015,1.76949387248915,0.955813051096351,"Australia"
"79",2003,1.68437234673692,1.76263188280665,0.955600748611721,"Australia"
"80",2004,1.70446910614027,1.78146963144291,0.956776964398616,"Australia"
"81",2005,1.76252737067586,1.84295660820848,0.956358583173152,"Australia"
"82",2006,1.79129153979197,1.87177952460941,0.956999217183849,"Australia"
"83",2007,1.90650627684707,1.99274802513348,0.956722201101848,"Australia"
"84",2008,1.93237893614238,2.02101281552656,0.956143831101296,"Australia"
"85",2009,1.87716668265102,1.96795799121741,0.953865220207155,"Australia"
"86",2010,1.86984309188086,1.95006698935201,0.958860953029205,"Australia"
"87",2011,1.84097245994085,1.91543857323899,0.961123204712218,"Australia"
"88",2012,1.85706854796021,1.93079743097696,0.961814283656135,"Australia"
"89",2013,1.8169592975537,1.88438092498889,0.964220807724643,"Australia"
"90",2014,1.74441500070327,1.79913974452051,0.96958282757973,"Australia"
"91",2015,1.75122720472027,1.79861508502979,0.973653128618829,"Australia"
"92",2016,1.76119206525528,1.79613187875499,0.980547189260998,"Australia"
"93",2017,1.71367800262921,1.749876477829,0.979313696904652,"Australia"
"94",2018,1.71043180556424,1.75275576843239,0.97585290339338,"Australia"
"95",2019,1.63297739005573,1.67427155487649,0.975336041097703,"Australia"
"96",2020,1.55431938085973,1.59901862135304,0.972045828674911,"Australia"
"97",1995,1.15892690806416,1.32432920200623,0.875104850295908,"Germany"
"98",1996,1.20168556891548,1.38814830004202,0.865675208390276,"Germany"
"99",1997,1.23877249494,1.41464265042754,0.875678740893051,"Germany"
"100",1998,1.21900233168681,1.42102939537426,0.85783048236364,"Germany"
"101",1999,1.22188364484647,1.42608019768577,0.856812714200315,"Germany"
"102",2000,1.24352114275114,1.42104866728733,0.875072874966996,"Germany"
"103",2001,1.21322909563993,1.3832625838801,0.877077938620144,"Germany"
"104",2002,1.20656093415946,1.39644183960238,0.864025195996003,"Germany"
"105",2003,1.2077066096405,1.36022946173436,0.887869762871197,"Germany"
"106",2004,1.22933967503464,1.4043614702224,0.875372687944765,"Germany"
"107",2005,1.21958962961611,1.38410489775908,0.881139595409763,"Germany"
"108",2006,1.21777308776991,1.37449664505782,0.885977490122346,"Germany"
"109",2007,1.25949345701677,1.41395396466546,0.890759875138346,"Germany"
"110",2008,1.2765838281526,1.42360704486206,0.896724860107931,"Germany"
"111",2009,1.26410075306777,1.39931095747733,0.903373725699028,"Germany"
"112",2010,1.30293747423276,1.43473010014009,0.908141171712739,"Germany"
"113",2011,1.30239649967951,1.41682749510659,0.919234348696435,"Germany"
"114",2012,1.34036808604581,1.44210716272164,0.929451098152916,"Germany"
"115",2013,1.35644941126905,1.45816155707068,0.930246312345555,"Germany"
"116",2014,1.4100193883257,1.51442961719684,0.931056400584396,"Germany"
"117",2015,1.42766911964138,1.545902609513,0.923518151050365,"Germany"
"118",2016,1.51001971150444,1.64739848277101,0.916608657405407,"Germany"
"119",2017,1.49067135447412,1.61868671870519,0.920914057827402,"Germany"
"120",2018,1.48511267740261,1.61162453503774,0.921500414715286,"Germany"
